Time (s),Thrust (kN)
12.58,16.146710176654604
12.6,16.136460500340526
12.620000000000001,16.138345383212048
12.64,16.13874182951282
12.66,16.131472272041144
12.68,16.137432694890137
12.700000000000001,16.131792884392983
12.72,16.127544784429634
12.74,16.13009584928141
12.76,16.132650275602142
12.780000000000001,16.137656399444992
12.8,16.137078846333495
12.82,16.137460950004662
12.84,16.134014325745166
12.86,16.13775500227299
12.88,16.15206243559326
12.9,16.13769614919822
12.92,16.128616688125337
12.94,16.13417199002483
12.96,16.15067636494181
12.98,16.12677142716412
13.0,16.13264742013891
13.02,16.12572186581506
13.040000000000001,16.136675779385733
13.06,16.132366696117508
13.08,16.150932040818137
13.1,16.135961208747045
13.120000000000001,16.158506988173603
13.14,16.15000892504382
13.16,16.12783268616729
13.18,16.15036864146
13.200000000000001,16.150420096111162
13.22,16.13340847052556
13.24,16.133256293144214
13.26,16.133384560789874
13.280000000000001,16.13342115902516
13.3,16.13330616899876
13.32,16.13181815096975
13.34,16.132660301911862
13.36,16.130487278367635
13.38,16.12959613149895
13.4,16.129295539619264
13.42,16.124756422487334
13.44,16.129509476257354
13.46,16.127040624974914
13.48,16.124975508662644
13.5,16.132013819654265
13.52,16.127201370783276
13.540000000000001,16.121391152975
13.56,16.12546246392277
13.58,16.120783830415938
13.6,16.122302503055536
13.620000000000001,16.130319008890293
13.64,16.122681398104028
13.66,16.120499974307645
13.68,16.120120105813854
13.700000000000001,16.120073154696907
13.72,16.120599543312043
13.74,16.12018957295698
13.76,16.119824166156572
13.780000000000001,16.124970256371284
13.8,16.124978770885555
13.82,16.124310074561777
13.84,16.12127078084883
13.86,16.124291125780474
13.88,16.122831505448456
13.9,16.126738601638806
13.92,16.125440486323264
13.94,16.122285593041084
13.96,16.127857120317426
13.98,16.130374458857677
14.0,16.12882008456279
14.02,16.124650491639773
14.040000000000001,16.12676135254817
14.06,16.126099216153865
14.08,16.127687760817484
14.1,16.129822207978638
14.120000000000001,16.128779706142645
14.14,16.129615001454
14.16,16.128975058702995
14.18,16.128833556214325
14.200000000000001,16.128358367458794
14.22,16.122989685844196
14.24,16.126269095218227
14.26,16.12717680304869
14.280000000000001,16.1187726955378
14.3,16.123272813121403
14.32,16.117742483462656
14.34,16.11799044120848
14.36,16.11746382377217
14.38,16.119967525834422
14.4,16.12032699918921
14.42,16.124343329278673
14.44,16.118319123879175
14.46,16.12707245721891
14.48,16.121465698397213
14.5,16.12426550519561
14.52,16.12763418944104
14.540000000000001,16.12813850877749
14.56,16.125944615674115
14.58,16.126321914142398
14.6,16.126886954420918
14.620000000000001,16.127086362157176
14.64,16.123042210311905
14.66,16.119674811570523
14.68,16.124087492493793
14.700000000000001,16.126908454031714
14.72,16.117254504361938
14.74,16.126552084399464
14.76,16.117248011837834
14.780000000000001,16.124009907902664
14.8,16.114668566040358
14.82,16.11325940943101
14.84,16.12044161414568
14.86,16.11339726593558
14.88,16.114099794313788
14.9,16.119722406060525
14.92,16.129197881398007
14.94,16.11970016157446
14.96,16.120215689357426
14.98,16.124009106222864
15.0,16.12200020532622
15.02,16.124611564657485
15.040000000000001,16.125300046460346
15.06,16.130849607086002
15.08,16.120038491325843
15.1,16.113832129981365
15.120000000000001,16.123469610795954
15.14,16.11502731134915
15.16,16.11562892447275
15.18,16.11443811435661
15.200000000000001,16.11612135118357
15.22,16.11874431223463
15.24,16.11616922679866
15.26,16.112452283107896
15.280000000000001,16.124418522649528
15.3,16.11256453751276
15.32,16.112153929630928
15.34,16.123268566918227
15.36,16.117664269647673
15.38,16.112472283239825
15.4,16.12144152359363
15.42,16.122599375107704
15.44,16.109929518932333
15.46,16.115397043669805
15.48,16.121907712207907
15.5,16.12334109271338
15.52,16.12337125352725
15.540000000000001,16.114898916351365
15.56,16.11191574798887
15.58,16.117899210374183
15.6,16.11694632022922
15.620000000000001,16.11957512887232
15.64,16.115329337693886
15.66,16.11560453075834
15.68,16.11553135993721
15.700000000000001,16.109856823066835
15.72,16.118659595298638
15.74,16.121110194119613
15.76,16.117079072657617
15.780000000000001,16.121270299900445
15.8,16.114330563652146
15.82,16.114040175241584
15.84,16.114433575974275
15.860000000000001,16.114854665950833
15.88,16.11584272283867
15.9,16.10689013279991
15.92,16.110819933081622
15.94,16.11984997157482
15.96,16.119748052945962
15.98,16.119810817350217
16.0,16.111377487727935
16.02,16.117939930586054
16.04,16.120066393685004
16.06,16.115915977333213
16.080000000000002,16.113327447044625
16.1,16.135611135981694
16.12,16.119163070871775
16.14,16.13536116046877
16.16,16.119575151034542
16.18,16.112634557245286
16.2,16.11715825846214
16.22,16.10937736932122
16.240000000000002,16.134817265517825
16.26,16.134711595625866
16.28,16.134615174176282
16.3,16.140470213541096
16.32,16.117979501297263
16.34,16.13431343451835
16.36,16.106828908927465
16.38,16.13407706634637
16.4,16.11779762930649
16.42,16.11769327716558
16.44,16.133623415819486
